id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.29453,3.43262,0.641006,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
59,-0.32248,3.43286,0.496872,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
187,-0.24417,3.43216,0.773748,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1045,-0.29453,3.43262,0.641006,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
616,-0.169447,3.43159,0.882984,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
187,-0.24417,3.43216,0.773748,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
16,-0.0770539,3.43104,0.963998,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
616,-0.169447,3.43159,0.882984,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
16,-0.0770539,3.43104,0.963998,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
615,0.0237318,3.43065,1.00928,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
615,0.0237318,3.43065,1.00928,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
186,0.125026,3.43053,1.02309,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
186,0.125026,3.43053,1.02309,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1044,0.226324,3.43065,1.00927,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1044,0.226324,3.43065,1.00927,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
38,0.327109,3.43104,0.963983,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
38,0.327109,3.43104,0.963983,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
664,0.419496,3.43159,0.882975,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
664,0.419496,3.43159,0.882975,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
235,0.49421,3.43216,0.773746,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
235,0.49421,3.43216,0.773746,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1093,0.544556,3.43261,0.641011,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1093,0.544556,3.43261,0.641011,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
60,0.572511,3.43286,0.496896,0,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1045,-0.310931,3.43255,0.645924,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
59,-0.339034,3.43273,0.500294,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
187,-0.252782,3.43212,0.776873,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1045,-0.310931,3.43255,0.645924,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
616,-0.171911,3.43154,0.88223,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
187,-0.252782,3.43212,0.776873,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
16,-0.0768289,3.43096,0.959834,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
616,-0.171911,3.43154,0.88223,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
16,-0.0768289,3.43096,0.959834,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
615,0.0240529,3.43054,1.00349,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
615,0.0240529,3.43054,1.00349,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
186,0.125019,3.43042,1.017,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
186,0.125019,3.43042,1.017,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1044,0.225984,3.43054,1.00347,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1044,0.225984,3.43054,1.00347,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
38,0.326863,3.43096,0.959816,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
38,0.326863,3.43096,0.959816,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
664,0.421944,3.43154,0.882216,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
664,0.421944,3.43154,0.882216,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
235,0.502815,3.43212,0.776869,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
235,0.502815,3.43212,0.776869,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1093,0.560958,3.43255,0.645928,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1093,0.560958,3.43255,0.645928,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
60,0.589052,3.43273,0.500312,1,3.49222,0.316,0.719244,0.134028,0.124843,0.518202
1045,-0.328342,3.45128,0.649538,0,3.99222,0.316,0.751989,0.134028,0.124836,0.550947
59,-0.357969,3.45142,0.496053,0,3.99222,0.316,0.751989,0.134028,0.124836,0.550947
187,-0.271653,3.45095,0.789041,0,3.99222,0.316,0.751989,0.134028,0.124836,0.550947
1045,-0.328342,3.45128,0.649538,0,3.99222,0.316,0.751989,0.134028,0.124836,0.550947
616,-0.188191,3.45049,0.901597,0,3.99222,0.316,0.751989,0.134028,0.124836,0.550947
187,-0.271653,3.45095,0.789041,0,3.99222,0.316,0.751989,0.134028,0.124836,0.550947
16,-0.0865512,3.44999,0.9822,0,3.99222,0.316,0.751989,0.134028,0.124836,0.550947
616,-0.188191,3.45049,0.901597,0,3.99222,0.316,0.751989,0.134028,0.124836,0.550947
