p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.351284,3.49222,0.909424,4.95662,1.10423,0.780874,1.77,46.4,1,2.5,1.45174,15.8042,17.0183,145.965,0.0853048
0.79587,3.99222,0.963451,5.06344,1.20826,0.786149,1.77,46.4,1,2.5,3.33511,15.8042,18.4495,145.965,0.18077
1.19648,4.49222,0.996278,5.24883,1.27275,0.790545,1.77,46.4,1,2.5,5.32516,15.8042,19.879,145.965,0.267879
1.58094,4.99222,1.02247,5.45402,1.32971,0.796589,1.77,46.4,1,2.5,7.34247,15.8042,21.2807,145.965,0.34503
1.92018,5.49222,1.04913,5.65163,1.38372,0.803107,1.77,46.4,1,2.5,9.36229,15.8042,22.6502,145.965,0.413343
2.26338,5.99222,1.07388,5.83701,1.43268,0.809535,1.77,46.4,1,2.5,11.3796,15.8042,23.9769,145.965,0.474608
2.58154,6.49222,1.09917,6.0114,1.47451,0.818113,1.77,46.4,1,2.5,13.4118,15.8042,25.2855,145.965,0.530416
2.88694,6.99222,1.11951,6.18375,1.51567,0.825179,1.77,46.4,1,2.5,15.3926,15.8042,26.556,145.965,0.579629
3.1452,7.49222,1.1378,6.35236,1.55861,0.831409,1.77,46.4,1,2.5,17.3611,15.8042,27.7972,145.965,0.624564
