p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.278125,3.49222,0.928842,4.97924,1.07126,0.847927,1.77,1,1,2.5,1.1808,15.8042,16.985,15.8042,0.0695201
0.574686,3.99222,0.992255,5.09867,1.12847,0.902932,1.77,1,1,2.5,2.49704,15.8042,18.3013,15.8042,0.136441
0.84699,4.49222,1.04467,5.23838,1.18308,0.95008,1.77,1,1,2.5,3.7934,15.8042,19.5976,15.8042,0.193564
1.09544,4.99222,1.09035,5.38114,1.23355,0.992082,1.77,1,1,2.5,5.05642,15.8042,20.8607,15.8042,0.24239
1.32363,5.49222,1.13244,5.5207,1.27965,1.03133,1.77,1,1,2.5,6.28486,15.8042,22.0891,15.8042,0.284523
1.53552,5.99222,1.17132,5.65591,1.3224,1.06735,1.77,1,1,2.5,7.48234,15.8042,23.2866,15.8042,0.321315
1.73185,6.49222,1.20748,5.78711,1.36248,1.101,1.77,1,1,2.5,8.65072,15.8042,24.455,15.8042,0.353741
1.91569,6.99222,1.24146,5.91323,1.40058,1.13237,1.77,1,1,2.5,9.79157,15.8042,25.5958,15.8042,0.382546
2.08844,7.49222,1.27355,6.03526,1.43649,1.16217,1.77,1,1,2.5,10.9071,15.8042,26.7114,15.8042,0.408333
