p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.351807,3.49222,0.90663,4.96166,1.11371,0.779689,1.77,100,1,2.5,1.46833,15.8042,17.0231,299.634,0.0862554
0.830035,3.99222,0.974582,5.0262,1.19661,0.783748,1.77,100,1,2.5,3.38023,15.8042,18.4473,299.634,0.183238
1.2689,4.49222,1.00839,5.18759,1.29314,0.785318,1.77,100,1,2.5,5.41224,15.8042,19.8921,299.634,0.27208
1.62652,4.99222,1.02773,5.42726,1.34868,0.788086,1.77,100,1,2.5,7.53253,15.8042,21.3225,299.634,0.353266
2.02353,5.49222,1.05318,5.61431,1.40361,0.791744,1.77,100,1,2.5,9.69653,15.8042,22.7082,299.634,0.427005
2.34153,5.99222,1.07441,5.81882,1.44878,0.795243,1.77,100,1,2.5,11.8474,15.8042,24.0638,299.634,0.492332
2.68036,6.49222,1.0928,6.01593,1.48904,0.799071,1.77,100,1,2.5,14.0002,15.8042,25.3764,299.634,0.551701
2.9785,6.99222,1.11196,6.18771,1.53218,0.802688,1.77,100,1,2.5,16.1233,15.8042,26.6593,299.634,0.60479
3.28478,7.49222,1.13346,6.3505,1.57557,0.807054,1.77,100,1,2.5,18.2696,15.8042,27.9289,299.634,0.654146
