p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.302337,3.49222,0.919836,4.98116,1.08287,0.822326,1.77,2.15,1,2.5,1.28086,15.8042,17.0037,19.1013,0.0753286
0.62801,3.99222,0.976951,5.1113,1.14913,0.862241,1.77,2.15,1,2.5,2.72778,15.8042,18.3466,19.1013,0.14868
0.927319,4.49222,1.02608,5.2608,1.20847,0.90104,1.77,2.15,1,2.5,4.14983,15.8042,19.6645,19.1013,0.211032
1.19977,4.99222,1.06888,5.41672,1.26007,0.936302,1.77,2.15,1,2.5,5.53768,15.8042,20.9517,19.1013,0.264308
1.44644,5.49222,1.10778,5.57502,1.30521,0.968952,1.77,2.15,1,2.5,6.89382,15.8042,22.21,19.1013,0.310393
1.67979,5.99222,1.14379,5.72024,1.34993,0.999329,1.77,2.15,1,2.5,8.20522,15.8042,23.4264,19.1013,0.350256
1.89569,6.49222,1.1779,5.86128,1.39021,1.02838,1.77,2.15,1,2.5,9.48666,15.8042,24.6139,19.1013,0.385419
2.09656,6.99222,1.20996,5.99764,1.42829,1.05589,1.77,2.15,1,2.5,10.7378,15.8042,25.7736,19.1013,0.416621
2.28584,7.49222,1.24037,6.12674,1.46525,1.08185,1.77,2.15,1,2.5,11.958,15.8042,26.9046,19.1013,0.444461
