p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.348134,3.49222,0.911878,4.95727,1.09885,0.784321,1.77,21.5,1,2.5,1.44089,15.8042,17.0191,74.5771,0.0846627
0.767393,3.99222,0.959338,5.08553,1.19003,0.792808,1.77,21.5,1,2.5,3.25829,15.8042,18.4278,74.5771,0.176814
1.15113,4.49222,0.997064,5.27297,1.25929,0.80206,1.77,21.5,1,2.5,5.15013,15.8042,19.8377,74.5771,0.259613
1.49889,4.99222,1.02809,5.47243,1.31525,0.81382,1.77,21.5,1,2.5,7.03232,15.8042,21.2151,74.5771,0.331477
1.82971,5.49222,1.05065,5.66913,1.37074,0.822827,1.77,21.5,1,2.5,8.90891,15.8042,22.5632,74.5771,0.394843
2.13982,5.99222,1.07978,5.8394,1.42094,0.835863,1.77,21.5,1,2.5,10.7603,15.8042,23.8828,74.5771,0.450546
2.42807,6.49222,1.10466,6.0119,1.46959,0.847497,1.77,21.5,1,2.5,12.5642,15.8042,25.1654,74.5771,0.499266
2.71451,6.99222,1.12855,6.17412,1.51,0.859578,1.77,21.5,1,2.5,14.3594,15.8042,26.416,74.5771,0.543589
2.96777,7.49222,1.15139,6.33522,1.54518,0.87172,1.77,21.5,1,2.5,16.1351,15.8042,27.6417,74.5771,0.583722
