p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.330475,3.49222,0.91426,4.98105,1.08988,0.795553,1.77,7,1,2.5,1.395,15.8042,17.0229,33.006,0.0819482
0.704901,3.99222,0.960316,5.1105,1.1795,0.814782,1.77,7,1,2.5,3.0529,15.8042,18.3991,33.006,0.165927
1.0453,4.49222,0.998837,5.28778,1.24252,0.83641,1.77,7,1,2.5,4.72186,15.8042,19.7774,33.006,0.23875
1.37124,4.99222,1.03827,5.46406,1.29657,0.859569,1.77,7,1,2.5,6.37257,15.8042,21.1187,33.006,0.30175
1.66094,5.49222,1.07447,5.64055,1.34181,0.883218,1.77,7,1,2.5,7.99218,15.8042,22.4257,33.006,0.356385
1.92868,5.99222,1.10462,5.80836,1.38827,0.903196,1.77,7,1,2.5,9.55449,15.8042,23.6903,33.006,0.403309
2.18563,6.49222,1.13524,5.96667,1.43062,0.923945,1.77,7,1,2.5,11.0884,15.8042,24.925,33.006,0.444871
2.42259,6.99222,1.16347,6.11908,1.46987,0.943861,1.77,7,1,2.5,12.5895,15.8042,26.1291,33.006,0.481821
2.6499,7.49222,1.19116,6.26054,1.50774,0.962889,1.77,7,1,2.5,14.051,15.8042,27.3016,33.006,0.514657
