p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.33467,3.49222,0.912087,4.98202,1.09355,0.791918,1.77,9,1,2.5,1.41315,15.8042,17.0256,38.74,0.0830018
0.718947,3.99222,0.96264,5.10769,1.17652,0.808023,1.77,9,1,2.5,3.11464,15.8042,18.4072,38.74,0.169208
1.07539,4.49222,0.995188,5.28739,1.25429,0.824986,1.77,9,1,2.5,4.82883,15.8042,19.7937,38.74,0.243957
1.40307,4.99222,1.0323,5.46819,1.30559,0.84622,1.77,9,1,2.5,6.54157,15.8042,21.1476,38.74,0.30933
1.70308,5.49222,1.0668,5.64704,1.35143,0.866834,1.77,9,1,2.5,8.21422,15.8042,22.463,38.74,0.365678
1.98416,5.99222,1.09744,5.81724,1.39647,0.885672,1.77,9,1,2.5,9.84615,15.8042,23.7426,38.74,0.414704
2.24041,6.49222,1.12679,5.98486,1.43606,0.904626,1.77,9,1,2.5,11.4463,15.8042,24.9896,38.74,0.458042
2.49958,6.99222,1.15538,6.13092,1.47932,0.922496,1.77,9,1,2.5,13.0008,15.8042,26.1989,38.74,0.496233
2.73095,7.49222,1.18191,6.27878,1.51658,0.940404,1.77,9,1,2.5,14.528,15.8042,27.3818,38.74,0.530571
