p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.3362,3.49222,0.912806,4.97054,1.09657,0.790251,1.77,10,1,2.5,1.41347,15.8042,17.0212,41.607,0.0830422
0.724865,3.99222,0.963807,5.10434,1.18069,0.805301,1.77,10,1,2.5,3.13582,15.8042,18.4117,41.607,0.170316
1.08999,4.49222,0.998318,5.2804,1.25152,0.822632,1.77,10,1,2.5,4.87752,15.8042,19.7954,41.607,0.246397
1.41053,4.99222,1.02957,5.46916,1.30686,0.841007,1.77,10,1,2.5,6.6022,15.8042,21.1593,41.607,0.312023
1.71829,5.49222,1.06204,5.6527,1.35806,0.859278,1.77,10,1,2.5,8.30975,15.8042,22.4836,41.607,0.369592
1.99911,5.99222,1.09458,5.82071,1.40036,0.879098,1.77,10,1,2.5,9.96867,15.8042,23.7625,41.607,0.419512
2.27192,6.49222,1.125,5.9855,1.43986,0.897693,1.77,10,1,2.5,11.5943,15.8042,25.0164,41.607,0.463468
2.51794,6.99222,1.15278,6.14371,1.4785,0.91508,1.77,10,1,2.5,13.1914,15.8042,26.2375,41.607,0.502769
2.76145,7.49222,1.1784,6.28842,1.51912,0.931253,1.77,10,1,2.5,14.7333,15.8042,27.421,41.607,0.537298
