p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.345213,3.49222,0.912891,4.95877,1.09855,0.785548,1.77,18,1,2.5,1.43747,15.8042,17.0193,64.5427,0.0844613
0.755758,3.99222,0.960876,5.09413,1.18997,0.794613,1.77,18,1,2.5,3.23051,15.8042,18.4249,64.5427,0.175334
1.12299,4.49222,0.997334,5.27882,1.25508,0.806137,1.77,18,1,2.5,5.09531,15.8042,19.8261,64.5427,0.257
1.49068,4.99222,1.02765,5.46793,1.31087,0.819019,1.77,18,1,2.5,6.95491,15.8042,21.2025,64.5427,0.328023
1.81066,5.49222,1.05384,5.65692,1.37319,0.830529,1.77,18,1,2.5,8.77217,15.8042,22.5502,64.5427,0.389006
2.11237,5.99222,1.08191,5.83938,1.4191,0.843375,1.77,18,1,2.5,10.5715,15.8042,23.8575,64.5427,0.443111
2.39496,6.49222,1.10608,6.00889,1.46376,0.857112,1.77,18,1,2.5,12.355,15.8042,25.1374,64.5427,0.491496
2.66002,6.99222,1.13275,6.17174,1.50174,0.871332,1.77,18,1,2.5,14.1205,15.8042,26.3792,64.5427,0.53529
2.92277,7.49222,1.15701,6.32389,1.53931,0.884515,1.77,18,1,2.5,15.8515,15.8042,27.5974,64.5427,0.574384
