p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.32192,3.49222,0.912925,4.98522,1.08999,0.803647,1.77,4.64,1,2.5,1.3676,15.8042,17.0244,26.24,0.0803318
0.677138,3.99222,0.963373,5.10871,1.17317,0.828016,1.77,4.64,1,2.5,2.94567,15.8042,18.3824,26.24,0.160244
1.00483,4.49222,1.00923,5.28306,1.22997,0.85749,1.77,4.64,1,2.5,4.53508,15.8042,19.741,26.24,0.229729
1.30623,4.99222,1.04823,5.45766,1.28154,0.884275,1.77,4.64,1,2.5,6.08793,15.8042,21.0652,26.24,0.289004
1.5854,5.49222,1.08427,5.62251,1.33147,0.910182,1.77,4.64,1,2.5,7.60376,15.8042,22.3518,26.24,0.340185
1.84351,5.99222,1.1181,5.7757,1.37668,0.934949,1.77,4.64,1,2.5,9.06946,15.8042,23.5947,26.24,0.384386
2.0872,6.49222,1.14978,5.92969,1.41758,0.958553,1.77,4.64,1,2.5,10.5111,15.8042,24.8143,26.24,0.423591
2.31498,6.99222,1.18023,6.0717,1.45739,0.981217,1.77,4.64,1,2.5,11.9103,15.8042,25.9975,26.24,0.458132
2.51824,7.49222,1.20709,6.22075,1.49302,1.00203,1.77,4.64,1,2.5,13.2835,15.8042,27.1626,26.24,0.489038
