p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.243363,3.49222,0.948076,4.97054,1.05247,0.895172,1.77,0.316,1,2.5,1.02889,15.8042,16.953,13.8432,0.0606909
0.510779,3.99222,1.01742,5.07073,1.0978,0.966011,1.77,0.316,1,2.5,2.21601,15.8042,18.2459,13.8432,0.121453
0.75819,4.49222,1.07371,5.1903,1.15106,1.02291,1.77,0.316,1,2.5,3.3918,15.8042,19.5192,13.8432,0.173767
0.984967,4.99222,1.12307,5.31612,1.20018,1.07248,1.77,0.316,1,2.5,4.54457,15.8042,20.7658,13.8432,0.218849
1.19355,5.49222,1.16764,5.44213,1.24575,1.11696,1.77,0.316,1,2.5,5.67027,15.8042,21.9821,13.8432,0.25795
1.38637,5.99222,1.20865,5.56606,1.28815,1.15761,1.77,0.316,1,2.5,6.76885,15.8042,23.1682,13.8432,0.292161
1.56547,6.49222,1.24706,5.6868,1.32792,1.19532,1.77,0.316,1,2.5,7.84165,15.8042,24.3265,13.8432,0.322351
1.73291,6.99222,1.28313,5.80403,1.36543,1.23061,1.77,0.316,1,2.5,8.89257,15.8042,25.4657,13.8432,0.349198
1.89006,7.49222,1.31722,5.91756,1.40103,1.26387,1.77,0.316,1,2.5,9.9217,15.8042,26.5833,13.8432,0.37323
