p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.205055,3.49222,0.990467,4.95131,1.03272,0.986342,1.77,0.01,1,2.5,0.876739,15.8042,16.9336,12.9659,0.0517749
0.455302,3.99222,1.05501,5.02799,1.05762,1.05276,1.77,0.01,1,2.5,1.99354,15.8042,18.2223,12.9659,0.109401
0.687105,4.49222,1.11093,5.13111,1.11378,1.10891,1.77,0.01,1,2.5,3.10128,15.8042,19.4788,12.9659,0.159213
0.899901,4.99222,1.16115,5.24422,1.16491,1.15949,1.77,0.01,1,2.5,4.18936,15.8042,20.7142,12.9659,0.202245
1.09566,5.49222,1.20707,5.36029,1.21145,1.20547,1.77,0.01,1,2.5,5.25363,15.8042,21.9251,12.9659,0.239617
1.27654,5.99222,1.2495,5.47585,1.2544,1.24794,1.77,0.01,1,2.5,6.29373,15.8042,23.1203,12.9659,0.272217
1.44461,6.49222,1.28903,5.58949,1.29444,1.28755,1.77,0.01,1,2.5,7.31007,15.8042,24.2916,12.9659,0.30093
1.60155,6.99222,1.3263,5.70025,1.33209,1.32496,1.77,0.01,1,2.5,8.30394,15.8042,25.4423,12.9659,0.326384
1.74883,7.49222,1.36153,5.808,1.36771,1.36033,1.77,0.01,1,2.5,9.2767,15.8042,26.5728,12.9659,0.349105
