p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.278125,3.49222,0.928842,4.97924,1.07126,0.847927,1.77,1,1,2.5,1.1808,15.8042,16.985,15.8042,0.0695201
0.575046,3.99222,0.99244,5.0977,1.12868,0.903,1.77,1,1,2.5,2.49629,15.8042,18.3005,15.8042,0.136405
0.847285,4.49222,1.04458,5.23692,1.18382,0.950054,1.77,1,1,2.5,3.79099,15.8042,19.5952,15.8042,0.193465
1.09544,4.99222,1.09053,5.38087,1.2335,0.992192,1.77,1,1,2.5,5.05548,15.8042,20.8597,15.8042,0.242356
1.32376,5.49222,1.13244,5.5207,1.2797,1.03134,1.77,1,1,2.5,6.28494,15.8042,22.0892,15.8042,0.284526
1.53563,5.99222,1.17134,5.65568,1.32252,1.06737,1.77,1,1,2.5,7.4819,15.8042,23.2861,15.8042,0.321303
1.73191,6.49222,1.20751,5.78698,1.36247,1.1008,1.77,1,1,2.5,8.65076,15.8042,24.455,15.8042,0.353742
1.91578,6.99222,1.24147,5.91314,1.40049,1.13247,1.77,1,1,2.5,9.79156,15.8042,25.5958,15.8042,0.382546
2.08847,7.49222,1.27355,6.03524,1.4365,1.16219,1.77,1,1,2.5,10.907,15.8042,26.7112,15.8042,0.408329
