d,expansion_ratio,modulus
0.3277777777777778,1.003285642989791,0.01
0.3277777777777778,1.0380457909199816,0.1
0.3277777777777778,1.0887686072759417,0.316
0.3277777777777778,1.1628584212741768,1.0
0.3277777777777778,1.2212826229131475,2.15
0.3277777777777778,1.2691527807146366,4.64
0.3277777777777778,1.3133191152097772,10.0
0.3277777777777778,1.331259186608892,21.5
0.3277777777777778,1.3274813538966557,46.4
0.3277777777777778,1.3305420279148752,100.0
0.26319444444444445,1.0026866757548552,0.01
0.26319444444444445,1.0344167969799964,0.1
0.26319444444444445,1.0792945353063936,0.316
0.26319444444444445,1.1418323338003318,1.0
0.26319444444444445,1.1820592405831385,2.15
0.26319444444444445,1.2142426972288591,4.64
0.26319444444444445,1.237515884837215,10.0
0.26319444444444445,1.2277132827734731,21.5
0.26319444444444445,1.2186115030103675,46.4
0.26319444444444445,1.2075857760218767,100.0
0.1986111111111111,1.001866744022619,0.01
0.1986111111111111,1.0272790542061252,0.1
0.1986111111111111,1.061301526113696,0.316
0.1986111111111111,1.1034334492029383,1.0
0.1986111111111111,1.1296912677816027,2.15
0.1986111111111111,1.1396029410287019,4.64
0.1986111111111111,1.1483677858646164,10.0
0.1986111111111111,1.134417791380786,21.5
0.1986111111111111,1.1172311572226061,46.4
0.1986111111111111,1.0979427465102365,100.0
0.13402777777777777,1.0009404371943789,0.01
0.13402777777777777,1.0157704720436695,0.1
0.13402777777777777,1.0351153486897342,0.316
0.13402777777777777,1.056370624425281,1.0
0.13402777777777777,1.0673818871150402,2.15
0.13402777777777777,1.0728630980636353,4.64
0.13402777777777777,1.0744300252043604,10.0
0.13402777777777777,1.0466628342736763,21.5
0.13402777777777777,1.035829122193927,46.4
0.13402777777777777,1.0289969720670218,100.0
0.06944444444444445,1.0001077194834607,0.01
0.06944444444444445,1.0045163828999326,0.1
0.06944444444444445,1.009335082895547,0.316
0.06944444444444445,1.0143061381828296,1.0
0.06944444444444445,1.0165291771628895,2.15
0.06944444444444445,1.0170231631371955,4.64
0.06944444444444445,1.0171919001682825,10.0
0.06944444444444445,1.0141686662029277,21.5
0.06944444444444445,1.01070725384161,46.4
0.06944444444444445,1.0081475565807179,100.0
