c,vcrit
0.1,4.0214669352014
1.0,4.783913705386114
2.0,5.119137355428221
3.0,5.304545126424035
4.0,5.463514801117559
5.0,5.599908431757431
6.0,5.696166872968588
7.0,5.792425314179743
8.0,5.8886837553909
9.0,5.984942196602056
10.0,6.081200637813212
