p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.82572,4.22787,0.989882,5.19068,1.19368,0.850044,1.77,4,1,2.5,3.65157,15.8042,19.0224,24.4051,0.191962
1.21606,4.84569,1.04402,5.37965,1.26677,0.886241,1.77,4,1,2.5,5.5325,15.8042,20.6487,24.4051,0.267934
1.55907,5.46351,1.09001,5.58312,1.32942,0.920815,1.77,4,1,2.5,7.37763,15.8042,22.2387,24.4051,0.331747
1.87204,6.08134,1.1306,5.77565,1.38762,0.951848,1.77,4,1,2.5,9.14925,15.8042,23.7693,24.4051,0.384919
2.14896,6.69916,1.16956,5.96307,1.43884,0.981834,1.77,4,1,2.5,10.8639,15.8042,25.2524,24.4051,0.430214
2.40206,7.31698,1.20393,6.15023,1.48186,1.00915,1.77,4,1,2.5,12.5418,15.8042,26.7028,24.4051,0.469681
2.64602,7.93481,1.23804,6.31839,1.52396,1.03599,1.77,4,1,2.5,14.1727,15.8042,28.1073,24.4051,0.504235
2.88287,8.55263,1.27131,6.46852,1.56545,1.06198,1.77,4,1,2.5,15.757,15.8042,29.4671,24.4051,0.534731
3.09562,9.17045,1.30169,6.62063,1.60371,1.08609,1.77,4,1,2.5,17.3053,15.8042,30.8007,24.4051,0.561849
3.30065,9.78828,1.33133,6.76136,1.64071,1.10959,1.77,4,1,2.5,18.8179,15.8042,32.1004,24.4051,0.58622
3.49239,10.4061,1.35915,6.90052,1.67564,1.13226,1.77,4,1,2.5,20.303,15.8042,33.3777,24.4051,0.608281
3.6773,11.0239,1.38622,7.03216,1.71034,1.15362,1.77,4,1,2.5,21.7565,15.8042,34.6268,24.4051,0.628315
