p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.749827,4.14838,0.986873,5.16844,1.17588,0.858868,1.77,3,1,2.5,3.30457,15.8042,18.7923,21.5382,0.175847
1.11126,4.72646,1.0407,5.32455,1.24732,0.896881,1.77,3,1,2.5,4.99258,15.8042,20.2954,21.5382,0.245996
1.41514,5.30455,1.08635,5.52425,1.30405,0.93264,1.77,3,1,2.5,6.66335,15.8042,21.7888,21.5382,0.305816
1.70311,5.88263,1.12596,5.70837,1.35745,0.965247,1.77,3,1,2.5,8.26751,15.8042,23.2253,21.5382,0.35597
1.96108,6.46071,1.16336,5.88405,1.40369,0.99548,1.77,3,1,2.5,9.82946,15.8042,24.6225,21.5382,0.399206
2.20268,7.03879,1.19914,6.05027,1.44719,1.02448,1.77,3,1,2.5,11.3479,15.8042,25.9792,21.5382,0.436807
2.43224,7.61687,1.23305,6.20108,1.48843,1.05267,1.77,3,1,2.5,12.8215,15.8042,27.2926,21.5382,0.469779
2.64815,8.19495,1.26541,6.34405,1.52775,1.07912,1.77,3,1,2.5,14.2579,15.8042,28.5723,21.5382,0.49901
2.84677,8.77303,1.29571,6.48633,1.56486,1.10405,1.77,3,1,2.5,15.6664,15.8042,29.8278,21.5382,0.525229
3.03727,9.35111,1.32484,6.62055,1.60113,1.12808,1.77,3,1,2.5,17.0413,15.8042,31.0535,21.5382,0.54877
3.21678,9.92919,1.35271,6.74937,1.63572,1.15129,1.77,3,1,2.5,18.3882,15.8042,32.2543,21.5382,0.570102
3.38869,10.5073,1.37951,6.87493,1.66883,1.17321,1.77,3,1,2.5,19.715,15.8042,33.4351,21.5382,0.58965
