p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.945198,4.34419,0.997387,5.21973,1.22163,0.839347,1.77,6,1,2.5,4.17055,15.8042,19.3553,30.1391,0.215473
1.38294,5.02018,1.05236,5.43156,1.29931,0.872464,1.77,6,1,2.5,6.34808,15.8042,21.1416,30.1391,0.300265
1.77904,5.69617,1.097,5.64766,1.36983,0.903234,1.77,6,1,2.5,8.44902,15.8042,22.8756,30.1391,0.369347
2.14762,6.37215,1.1427,5.83728,1.43605,0.934443,1.77,6,1,2.5,10.4873,15.8042,24.5357,30.1391,0.42743
2.45112,7.04814,1.17847,6.06216,1.48847,0.961958,1.77,6,1,2.5,12.4766,15.8042,26.1727,30.1391,0.476701
2.73647,7.72413,1.21431,6.26672,1.53935,0.987944,1.77,6,1,2.5,14.4064,15.8042,27.7507,30.1391,0.519138
2.97754,8.40011,1.24452,6.47844,1.58044,1.01146,1.77,6,1,2.5,16.2714,15.8042,29.297,30.1391,0.555393
3.23768,9.0761,1.27853,6.64719,1.6232,1.03633,1.77,6,1,2.5,18.0937,15.8042,30.7834,30.1391,0.587774
3.47631,9.75208,1.30924,6.80917,1.66285,1.05896,1.77,6,1,2.5,19.8721,15.8042,32.2278,30.1391,0.616612
3.69956,10.4281,1.33857,6.96761,1.6991,1.08112,1.77,6,1,2.5,21.609,15.8042,33.6449,30.1391,0.642267
3.91001,11.1041,1.36679,7.11658,1.73431,1.10227,1.77,6,1,2.5,23.3085,15.8042,35.0283,30.1391,0.665421
4.11781,11.78,1.39464,7.25622,1.76994,1.12299,1.77,6,1,2.5,24.9739,15.8042,36.3815,30.1391,0.686445
