p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
1.02944,4.44045,1.00569,5.23758,1.23825,0.832135,1.77,8,1,2.5,4.61418,15.8042,19.6392,35.873,0.234948
1.534,5.16457,1.05956,5.45607,1.33158,0.863105,1.77,8,1,2.5,7.00692,15.8042,21.5349,35.873,0.325375
1.95926,5.88868,1.10769,5.68065,1.40349,0.893123,1.77,8,1,2.5,9.37107,15.8042,23.4,35.873,0.400474
2.34949,6.6128,1.15088,5.9012,1.47138,0.923199,1.77,8,1,2.5,11.6301,15.8042,25.179,35.873,0.461899
2.67988,7.33691,1.18397,6.15158,1.52777,0.94671,1.77,8,1,2.5,13.8619,15.8042,26.9426,35.873,0.5145
2.97744,8.06103,1.22119,6.39129,1.57448,0.972359,1.77,8,1,2.5,16.0001,15.8042,28.6431,35.873,0.558601
3.25141,8.78515,1.25134,6.60319,1.62203,0.996424,1.77,8,1,2.5,18.0578,15.8042,30.2772,35.873,0.596416
3.50822,9.50926,1.28365,6.79163,1.66245,1.01812,1.77,8,1,2.5,20.0593,15.8042,31.8537,35.873,0.629734
3.77233,10.2334,1.31557,6.96613,1.70479,1.04048,1.77,8,1,2.5,22.0331,15.8042,33.4009,35.873,0.659656
4.01289,10.9575,1.34512,7.13066,1.74476,1.06154,1.77,8,1,2.5,23.9535,15.8042,34.905,35.873,0.686249
4.2436,11.6816,1.37369,7.29043,1.7811,1.08193,1.77,8,1,2.5,25.8397,15.8042,36.3791,35.873,0.71029
4.46111,12.4057,1.40093,7.44048,1.81748,1.10127,1.77,8,1,2.5,27.6892,15.8042,37.8206,35.873,0.732119
