p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.198829,3.48361,0.99306,4.94946,1.04576,0.991895,1.77,0,1,2.5,0.853002,15.8042,17.2516,12.9373,0.0494447
0.323554,3.72931,1.02506,4.98096,1.04713,1.02474,1.77,0,1,2.5,1.40013,15.8042,17.9897,12.9373,0.0778293
0.444447,3.975,1.05528,5.02269,1.05414,1.05528,1.77,0,1,2.5,1.94765,15.8042,18.7729,12.9373,0.103748
0.560814,4.22069,1.08387,5.07075,1.08101,1.08387,1.77,0,1,2.5,2.493,15.8042,19.5789,12.9373,0.127331
0.672486,4.46639,1.1108,5.12278,1.10802,1.1108,1.77,0,1,2.5,3.03459,15.8042,20.392,12.9373,0.148813
0.779545,4.71208,1.13631,5.17727,1.13359,1.13631,1.77,0,1,2.5,3.57139,15.8042,21.2076,12.9373,0.168402
0.882194,4.95778,1.16058,5.23318,1.15791,1.16058,1.77,0,1,2.5,4.10282,15.8042,22.0231,12.9373,0.186297
0.980689,5.20347,1.18378,5.28983,1.18114,1.18378,1.77,0,1,2.5,4.62854,15.8042,22.8366,12.9373,0.202681
1.0753,5.44917,1.20601,5.34674,1.20342,1.20601,1.77,0,1,2.5,5.1484,15.8042,23.6467,12.9373,0.217722
1.16629,5.69486,1.2274,5.40357,1.22485,1.2274,1.77,0,1,2.5,5.66237,15.8042,24.4525,12.9373,0.231566
1.25391,5.94056,1.24801,5.4601,1.24552,1.24801,1.77,0,1,2.5,6.1705,15.8042,25.2532,12.9373,0.244345
1.33841,6.18625,1.26793,5.51617,1.2655,1.26793,1.77,0,1,2.5,6.67289,15.8042,26.0484,12.9373,0.256172
