p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
1.13558,4.53671,1.00917,5.26311,1.26262,0.826946,1.77,10,1,2.5,5.02211,15.8042,19.9042,41.607,0.252314
1.65668,5.30896,1.06742,5.48508,1.36167,0.856931,1.77,10,1,2.5,7.66171,15.8042,21.9346,41.607,0.349298
2.13249,6.0812,1.11687,5.73644,1.42952,0.887083,1.77,10,1,2.5,10.247,15.8042,23.9198,41.607,0.428389
2.56,6.85345,1.15893,5.96894,1.5005,0.913596,1.77,10,1,2.5,12.7452,15.8042,25.8254,41.607,0.493515
2.92792,7.62569,1.19745,6.21061,1.56165,0.939803,1.77,10,1,2.5,15.1169,15.8042,27.6625,41.607,0.546476
3.23393,8.39793,1.23091,6.45786,1.61457,0.962925,1.77,10,1,2.5,17.5103,15.8042,29.4709,41.607,0.594155
3.53686,9.17018,1.26626,6.67438,1.66475,0.986906,1.77,10,1,2.5,19.7144,15.8042,31.1826,41.607,0.632224
3.80028,9.94242,1.29513,6.89363,1.7099,1.00795,1.77,10,1,2.5,21.964,15.8042,32.8887,41.607,0.667828
4.04671,10.7147,1.32486,7.1017,1.74829,1.02843,1.77,10,1,2.5,24.0775,15.8042,34.5233,41.607,0.697429
4.315,11.4869,1.35524,7.2705,1.78996,1.04921,1.77,10,1,2.5,26.1936,15.8042,36.1187,41.607,0.725209
4.55926,12.2592,1.38389,7.43549,1.82887,1.06883,1.77,10,1,2.5,28.258,15.8042,37.6766,41.607,0.750013
4.78655,13.0314,1.41086,7.60121,1.86343,1.08772,1.77,10,1,2.5,30.2735,15.8042,39.2058,41.607,0.772168
