p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.989698,4.39232,0.998012,5.23116,1.23251,0.834048,1.77,7,1,2.5,4.39368,15.8042,19.4964,33.006,0.225359
1.46661,5.09237,1.05711,5.42956,1.31761,0.866914,1.77,7,1,2.5,6.67797,15.8042,21.3377,33.006,0.312965
1.88631,5.79243,1.10521,5.64408,1.38998,0.89843,1.77,7,1,2.5,8.9105,15.8042,23.1271,33.006,0.385283
2.25795,6.49248,1.14626,5.86969,1.45454,0.927277,1.77,7,1,2.5,11.0645,15.8042,24.8629,33.006,0.44502
2.5829,7.19253,1.18637,6.08453,1.51183,0.954624,1.77,7,1,2.5,13.1596,15.8042,26.5416,33.006,0.495811
2.88616,7.89258,1.21906,6.2968,1.56116,0.979723,1.77,7,1,2.5,15.1805,15.8042,28.1751,33.006,0.538793
3.13472,8.59263,1.25023,6.51796,1.60662,1.00306,1.77,7,1,2.5,17.1792,15.8042,29.7762,33.006,0.576943
3.37169,9.29268,1.27998,6.72963,1.64436,1.02607,1.77,7,1,2.5,19.0977,15.8042,31.3318,33.006,0.609529
3.61696,9.99273,1.31104,6.89873,1.68414,1.04839,1.77,7,1,2.5,20.9668,15.8042,32.8261,33.006,0.638724
3.86224,10.6928,1.34162,7.0499,1.72383,1.07013,1.77,7,1,2.5,22.8014,15.8042,34.2811,33.006,0.665129
4.08002,11.3928,1.37,7.20288,1.76088,1.09076,1.77,7,1,2.5,24.5936,15.8042,35.7084,33.006,0.688736
4.2937,12.0929,1.39765,7.34855,1.79585,1.11093,1.77,7,1,2.5,26.3433,15.8042,37.1047,33.006,0.709973
