p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
1.09788,4.48858,1.00583,5.24233,1.24967,0.829719,1.77,9,1,2.5,4.81984,15.8042,19.7661,38.74,0.243844
1.61158,5.23676,1.06472,5.45333,1.35038,0.859351,1.77,9,1,2.5,7.34986,15.8042,21.7386,38.74,0.338102
2.06749,5.98494,1.11444,5.70485,1.4151,0.890424,1.77,9,1,2.5,9.81689,15.8042,23.6596,38.74,0.414922
2.46685,6.73312,1.15709,5.92307,1.48757,0.918075,1.77,9,1,2.5,12.1749,15.8042,25.4974,38.74,0.477495
2.8241,7.4813,1.19532,6.15026,1.54883,0.944525,1.77,9,1,2.5,14.477,15.8042,27.2815,38.74,0.530652
3.12706,8.22948,1.2268,6.40231,1.59995,0.96714,1.77,9,1,2.5,16.7245,15.8042,29.0377,38.74,0.575958
3.42869,8.97766,1.26316,6.59971,1.64951,0.992086,1.77,9,1,2.5,18.8882,15.8042,30.7066,38.74,0.615118
3.67433,9.72584,1.29115,6.83516,1.6923,1.01253,1.77,9,1,2.5,21.0369,15.8042,32.3785,38.74,0.649718
3.90723,10.474,1.31944,7.03382,1.7297,1.03359,1.77,9,1,2.5,23.0643,15.8042,33.9651,38.74,0.679058
4.16317,11.2222,1.34985,7.201,1.77,1.05468,1.77,9,1,2.5,25.0875,15.8042,35.5175,38.74,0.706342
4.40681,11.9704,1.37898,7.3618,1.80807,1.07495,1.77,9,1,2.5,27.057,15.8042,37.0315,38.74,0.730647
4.62875,12.7186,1.40609,7.51977,1.84425,1.09403,1.77,9,1,2.5,28.9945,15.8042,38.5167,38.74,0.752779
