p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.894935,4.29607,0.993119,5.21598,1.20799,0.843828,1.77,5,1,2.5,3.94882,15.8042,19.2228,27.2721,0.205423
1.3131,4.94799,1.04704,5.40766,1.28665,0.87747,1.77,5,1,2.5,5.99056,15.8042,20.9349,27.2721,0.286151
1.69157,5.59991,1.0962,5.60366,1.35583,0.912088,1.77,5,1,2.5,7.97889,15.8042,22.5979,27.2721,0.353082
2.02377,6.25183,1.13871,5.80793,1.41602,0.943129,1.77,5,1,2.5,9.89765,15.8042,24.2105,27.2721,0.408817
2.31029,6.90375,1.17508,6.03058,1.46716,0.971668,1.77,5,1,2.5,11.7733,15.8042,25.7927,27.2721,0.456458
2.58008,7.55567,1.21011,6.22831,1.51268,0.998451,1.77,5,1,2.5,13.5869,15.8042,27.3201,27.2721,0.49732
2.8358,8.20759,1.24312,6.4104,1.55651,1.02356,1.77,5,1,2.5,15.3511,15.8042,28.7982,27.2721,0.533057
3.07362,8.85952,1.27507,6.58003,1.59559,1.04811,1.77,5,1,2.5,17.0685,15.8042,30.2362,27.2721,0.564505
3.30627,9.51144,1.30697,6.73091,1.63592,1.07221,1.77,5,1,2.5,18.741,15.8042,31.6299,27.2721,0.592509
3.52268,10.1634,1.33689,6.88101,1.67324,1.09525,1.77,5,1,2.5,20.3798,15.8042,32.9975,27.2721,0.617617
3.72721,10.8153,1.36481,7.02659,1.70923,1.11692,1.77,5,1,2.5,21.9823,15.8042,34.3364,27.2721,0.640205
3.92467,11.4672,1.39238,7.1612,1.74425,1.1381,1.77,5,1,2.5,23.5514,15.8042,35.6438,27.2721,0.660742
