p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.659519,4.05568,0.984656,5.13417,1.15332,0.871524,1.77,2,1,2.5,2.89157,15.8042,18.516,18.6712,0.156166
0.972191,4.58741,1.03649,5.28864,1.21678,0.912985,1.77,2,1,2.5,4.37982,15.8042,19.9056,18.6712,0.220029
1.25432,5.11914,1.08122,5.45543,1.27095,0.950264,1.77,2,1,2.5,5.83422,15.8042,21.2656,18.6712,0.27435
1.51364,5.65087,1.1225,5.60888,1.32029,0.985081,1.77,2,1,2.5,7.24026,15.8042,22.5789,18.6712,0.320665
1.74708,6.18259,1.15952,5.76994,1.36437,1.0169,1.77,2,1,2.5,8.61733,15.8042,23.8677,18.6712,0.361045
1.96816,6.71432,1.19529,5.91624,1.40576,1.04799,1.77,2,1,2.5,9.95452,15.8042,25.1161,18.6712,0.39634
2.17453,7.24605,1.22855,6.05627,1.4447,1.07661,1.77,2,1,2.5,11.2551,15.8042,26.3316,18.6712,0.427437
2.36827,7.77778,1.26035,6.19019,1.48251,1.10411,1.77,2,1,2.5,12.5265,15.8042,27.5189,18.6712,0.455197
2.55079,8.30951,1.29044,6.31939,1.51834,1.13033,1.77,2,1,2.5,13.7702,15.8042,28.6806,18.6712,0.480121
2.7235,8.84124,1.31915,6.4436,1.55242,1.15508,1.77,2,1,2.5,14.9867,15.8042,29.8176,18.6712,0.502614
2.88776,9.37297,1.3468,6.56258,1.5855,1.17898,1.77,2,1,2.5,16.1834,15.8042,30.9337,18.6712,0.523164
3.04373,9.9047,1.37319,6.67856,1.61704,1.20181,1.77,2,1,2.5,17.3647,15.8042,32.0332,18.6712,0.542085
