p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.227262,3.50684,0.971522,4.96383,1.04209,0.945329,1.77,0.1,1,2.5,0.964102,15.8042,16.9741,13.224,0.0567984
0.360507,3.76416,1.00891,5.00359,1.05256,0.985185,1.77,0.1,1,2.5,1.54844,15.8042,17.6363,13.224,0.0877986
0.489452,4.02147,1.04187,5.05262,1.07769,1.01968,1.77,0.1,1,2.5,2.13406,15.8042,18.2976,13.224,0.116631
0.613236,4.27878,1.07204,5.10733,1.10615,1.05073,1.77,0.1,1,2.5,2.71699,15.8042,18.9535,13.224,0.14335
0.731723,4.53609,1.10009,5.16543,1.13333,1.07934,1.77,0.1,1,2.5,3.2952,15.8042,19.6031,13.224,0.168096
0.845053,4.7934,1.12642,5.22548,1.15945,1.10607,1.77,0.1,1,2.5,3.86764,15.8042,20.2458,13.224,0.191034
0.9535,5.05071,1.15135,5.28655,1.18435,1.13121,1.77,0.1,1,2.5,4.43374,15.8042,20.8806,13.224,0.212338
1.0574,5.30802,1.17512,5.34795,1.20819,1.15513,1.77,0.1,1,2.5,4.99316,15.8042,21.5074,13.224,0.23216
1.15705,5.56533,1.19786,5.40928,1.23108,1.17794,1.77,0.1,1,2.5,5.54583,15.8042,22.1261,13.224,0.250647
1.25278,5.82264,1.2197,5.47025,1.25312,1.19981,1.77,0.1,1,2.5,6.09184,15.8042,22.7375,13.224,0.26792
1.34488,6.07996,1.24072,5.53069,1.27438,1.22082,1.77,0.1,1,2.5,6.63162,15.8042,23.3445,13.224,0.284076
1.43362,6.33727,1.26102,5.59042,1.29494,1.24107,1.77,0.1,1,2.5,7.16518,15.8042,23.9464,13.224,0.299217
