p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.243363,3.49222,0.948076,4.97054,1.05247,0.895172,1.77,0.316,1,2.5,1.02889,15.8042,16.953,13.8432,0.0606909
0.510874,3.99222,1.01741,5.07068,1.09773,0.966042,1.77,0.316,1,2.5,2.21597,15.8042,18.2459,13.8432,0.121451
0.758164,4.49222,1.07372,5.19033,1.15108,1.02292,1.77,0.316,1,2.5,3.39178,15.8042,19.5191,13.8432,0.173767
0.985042,4.99222,1.12307,5.31608,1.20018,1.07247,1.77,0.316,1,2.5,4.54455,15.8042,20.7658,13.8432,0.218848
1.1936,5.49222,1.16764,5.44212,1.24573,1.11694,1.77,0.316,1,2.5,5.67033,15.8042,21.9822,13.8432,0.257951
1.38638,5.99222,1.20865,5.56604,1.28817,1.15762,1.77,0.316,1,2.5,6.7688,15.8042,23.1681,13.8432,0.29216
1.56546,6.49222,1.24705,5.68682,1.32792,1.19532,1.77,0.316,1,2.5,7.84167,15.8042,24.3265,13.8432,0.322351
1.73291,6.99222,1.28312,5.80402,1.36543,1.23061,1.77,0.316,1,2.5,8.89256,15.8042,25.4657,13.8432,0.349198
1.89001,7.49222,1.31721,5.91758,1.40097,1.26387,1.77,0.316,1,2.5,9.92172,15.8042,26.5833,13.8432,0.373231
