p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.302337,3.49222,0.919836,4.98116,1.08287,0.822326,1.77,2.15,1,2.5,1.28086,15.8042,17.0037,19.1013,0.0753286
0.627866,3.99222,0.977084,5.11222,1.14881,0.862775,1.77,2.15,1,2.5,2.72871,15.8042,18.3474,19.1013,0.148724
0.925811,4.49222,1.02608,5.26227,1.20793,0.901199,1.77,2.15,1,2.5,4.15208,15.8042,19.6663,19.1013,0.211127
1.19811,4.99222,1.06831,5.42018,1.25947,0.936025,1.77,2.15,1,2.5,5.54142,15.8042,20.9557,19.1013,0.264434
1.45033,5.49222,1.10779,5.57192,1.30637,0.968922,1.77,2.15,1,2.5,6.89053,15.8042,22.2066,19.1013,0.310292
1.67916,5.99222,1.14352,5.72219,1.34941,0.999071,1.77,2.15,1,2.5,8.20651,15.8042,23.4277,19.1013,0.35029
1.89575,6.49222,1.17801,5.86194,1.39013,1.02826,1.77,2.15,1,2.5,9.48725,15.8042,24.6147,19.1013,0.38543
2.09476,6.99222,1.20966,6.00009,1.42787,1.05561,1.77,2.15,1,2.5,10.74,15.8042,25.7762,19.1013,0.416663
2.28608,7.49222,1.24035,6.12752,1.46475,1.08182,1.77,2.15,1,2.5,11.9579,15.8042,26.905,19.1013,0.444448
