p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.351489,3.49222,0.90974,4.95621,1.10309,0.781847,1.77,35,1,2.5,1.45541,15.8042,17.018,113.281,0.0855222
0.78697,3.99222,0.963921,5.07825,1.19875,0.788443,1.77,35,1,2.5,3.31995,15.8042,18.4488,113.281,0.179955
1.18733,4.49222,0.993705,5.25751,1.26782,0.793875,1.77,35,1,2.5,5.27287,15.8042,19.8598,113.281,0.265505
1.54642,4.99222,1.02453,5.45811,1.32665,0.801445,1.77,35,1,2.5,7.24666,15.8042,21.2528,113.281,0.340975
1.90997,5.49222,1.05217,5.65024,1.37791,0.810215,1.77,35,1,2.5,9.22893,15.8042,22.6185,113.281,0.408026
2.2526,5.99222,1.07916,5.82682,1.42451,0.819222,1.77,35,1,2.5,11.1961,15.8042,23.9435,113.281,0.467604
2.55716,6.49222,1.10388,6.00009,1.47055,0.828643,1.77,35,1,2.5,13.154,15.8042,25.2428,113.281,0.5211
2.82646,6.99222,1.1225,6.17684,1.51254,0.836698,1.77,35,1,2.5,15.058,15.8042,26.5016,113.281,0.56819
3.09094,7.49222,1.14448,6.35013,1.55685,0.84438,1.77,35,1,2.5,16.9293,15.8042,27.751,113.281,0.610045
