p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.352276,3.49222,0.910384,4.95603,1.10101,0.782474,1.77,30,1,2.5,1.45063,15.8042,17.0183,98.9463,0.0852394
0.771142,3.99222,0.962663,5.07978,1.19726,0.790014,1.77,30,1,2.5,3.29694,15.8042,18.4447,98.9463,0.178747
1.18413,4.49222,0.992912,5.26134,1.26807,0.795745,1.77,30,1,2.5,5.23103,15.8042,19.8525,98.9463,0.263495
1.54606,4.99222,1.02625,5.45822,1.32515,0.804642,1.77,30,1,2.5,7.18453,15.8042,21.2437,98.9463,0.338196
1.87917,5.49222,1.04978,5.65813,1.37457,0.813142,1.77,30,1,2.5,9.11842,15.8042,22.5932,98.9463,0.403591
2.21006,5.99222,1.07779,5.83832,1.42219,0.823873,1.77,30,1,2.5,11.0734,15.8042,23.9234,98.9463,0.46287
2.50372,6.49222,1.10122,6.01722,1.46647,0.833451,1.77,30,1,2.5,12.9705,15.8042,25.2162,98.9463,0.51437
2.79053,6.99222,1.12311,6.18647,1.51304,0.84254,1.77,30,1,2.5,14.8346,15.8042,26.4819,98.9463,0.560177
3.05631,7.49222,1.14655,6.34345,1.55717,0.852194,1.77,30,1,2.5,16.6779,15.8042,27.708,98.9463,0.601918
