p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.33467,3.49222,0.912087,4.98202,1.09355,0.791918,1.77,9,1,2.5,1.41315,15.8042,17.0256,38.74,0.0830018
0.721544,3.99222,0.96234,5.10709,1.18045,0.80774,1.77,9,1,2.5,3.11374,15.8042,18.408,38.74,0.169152
1.07389,4.49222,0.99489,5.293,1.25373,0.825213,1.77,9,1,2.5,4.82773,15.8042,19.7919,38.74,0.243924
1.3929,4.99222,1.02916,5.47152,1.31006,0.845248,1.77,9,1,2.5,6.53993,15.8042,21.151,38.74,0.309202
1.70267,5.49222,1.06691,5.64607,1.3525,0.86631,1.77,9,1,2.5,8.20652,15.8042,22.4609,38.74,0.365369
1.97491,5.99222,1.09857,5.82382,1.393,0.886851,1.77,9,1,2.5,9.85278,15.8042,23.7477,38.74,0.414894
2.24581,6.49222,1.12861,5.98017,1.43621,0.905149,1.77,9,1,2.5,11.4456,15.8042,24.9885,38.74,0.458035
2.49244,6.99222,1.15509,6.13558,1.47731,0.922773,1.77,9,1,2.5,13.0038,15.8042,26.2016,38.74,0.496298
2.73077,7.49222,1.182,6.27718,1.51694,0.94006,1.77,9,1,2.5,14.5258,15.8042,27.3828,38.74,0.530472
