id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.248812,3.42608,0.639555,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
59,-0.268077,3.42623,0.497889,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
187,-0.208957,3.42587,0.771144,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1045,-0.248812,3.42608,0.639555,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
616,-0.146449,3.42567,0.882759,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
187,-0.208957,3.42587,0.771144,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
16,-0.0676128,3.42553,0.97146,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
616,-0.146449,3.42567,0.882759,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
16,-0.0676128,3.42553,0.97146,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
615,0.0258525,3.42543,1.02239,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
615,0.0258525,3.42543,1.02239,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
186,0.124999,3.42541,1.03876,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
186,0.124999,3.42541,1.03876,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1044,0.224155,3.42543,1.02239,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1044,0.224155,3.42543,1.02239,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
38,0.317611,3.42554,0.971473,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
38,0.317611,3.42554,0.971473,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
664,0.396462,3.42567,0.882792,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
664,0.396462,3.42567,0.882792,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
235,0.458958,3.42587,0.77119,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
235,0.458958,3.42587,0.77119,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1093,0.498826,3.42605,0.639589,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1093,0.498826,3.42605,0.639589,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
60,0.518128,3.4262,0.497989,0,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1045,-0.290095,3.43767,0.651378,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
59,-0.320539,3.43755,0.509778,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
187,-0.233898,3.43785,0.779107,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1045,-0.290095,3.43767,0.651378,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
616,-0.155836,3.43757,0.88142,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
187,-0.233898,3.43785,0.779107,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
16,-0.0657433,3.43728,0.956708,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
616,-0.155836,3.43757,0.88142,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
16,-0.0657433,3.43728,0.956708,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
615,0.0295791,3.43718,0.994451,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
615,0.0295791,3.43718,0.994451,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
186,0.12498,3.437,1.00636,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
186,0.12498,3.437,1.00636,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1044,0.220431,3.43716,0.994773,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1044,0.220431,3.43716,0.994773,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
38,0.315921,3.43731,0.957223,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
38,0.315921,3.43731,0.957223,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
664,0.405838,3.43775,0.881409,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
664,0.405838,3.43775,0.881409,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
235,0.483905,3.43788,0.779099,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
235,0.483905,3.43788,0.779099,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1093,0.540059,3.43768,0.651381,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1093,0.540059,3.43768,0.651381,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
60,0.570627,3.43756,0.509838,1,3.49222,12.5,0.897184,0.263194,0.124846,0.502392
1045,-0.254446,3.44401,0.645333,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
59,-0.275325,3.44438,0.500219,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
187,-0.213592,3.44391,0.778632,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1045,-0.254446,3.44401,0.645333,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
616,-0.149291,3.44391,0.891005,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
187,-0.213592,3.44391,0.778632,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
16,-0.0683268,3.44415,0.979127,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
616,-0.149291,3.44391,0.891005,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
16,-0.0683268,3.44415,0.979127,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
615,0.0260078,3.44426,1.02911,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
615,0.0260078,3.44426,1.02911,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
186,0.12499,3.44439,1.04518,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
186,0.12499,3.44439,1.04518,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1044,0.22395,3.44421,1.0292,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1044,0.22395,3.44421,1.0292,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
38,0.31829,3.44414,0.979067,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
38,0.31829,3.44414,0.979067,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
664,0.399341,3.44394,0.890995,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
664,0.399341,3.44394,0.890995,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
235,0.463627,3.44394,0.77864,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
235,0.463627,3.44394,0.77864,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1093,0.504473,3.44405,0.645362,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1093,0.504473,3.44405,0.645362,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
60,0.525381,3.44439,0.500265,0,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1045,-0.308224,3.46385,0.664288,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
59,-0.337718,3.46407,0.51634,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
187,-0.247662,3.46366,0.794819,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1045,-0.308224,3.46385,0.664288,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
616,-0.164209,3.46336,0.897341,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
187,-0.247662,3.46366,0.794819,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
16,-0.0688607,3.46308,0.970936,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
616,-0.164209,3.46336,0.897341,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
16,-0.0688607,3.46308,0.970936,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
615,0.0297418,3.46286,1.00573,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
615,0.0297418,3.46286,1.00573,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
186,0.125026,3.46282,1.01521,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
186,0.125026,3.46282,1.01521,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1044,0.220384,3.4629,1.00594,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1044,0.220384,3.4629,1.00594,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
38,0.319078,3.46312,0.971168,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
38,0.319078,3.46312,0.971168,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
664,0.414402,3.4634,0.897528,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
664,0.414402,3.4634,0.897528,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
235,0.49779,3.4637,0.794949,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
235,0.49779,3.4637,0.794949,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1093,0.558243,3.4639,0.664344,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1093,0.558243,3.4639,0.664344,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
60,0.587534,3.46408,0.516405,1,3.99222,12.5,0.907979,0.263194,0.124851,0.513188
1045,-0.260242,3.47445,0.657795,0,4.49222,12.5,0.928921,0.263194,0.124847,0.53413
59,-0.281805,3.4752,0.508562,0,4.49222,12.5,0.928921,0.263194,0.124847,0.53413
187,-0.218657,3.47424,0.793681,0,4.49222,12.5,0.928921,0.263194,0.124847,0.53413
1045,-0.260242,3.47445,0.657795,0,4.49222,12.5,0.928921,0.263194,0.124847,0.53413
