p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.345698,3.49222,0.912874,4.96144,1.09823,0.786753,1.77,15,1,2.5,1.42973,15.8042,17.02,55.9418,0.0840033
0.750773,3.99222,0.963367,5.1023,1.18507,0.798215,1.77,15,1,2.5,3.20753,15.8042,18.4258,55.9418,0.174078
1.12224,4.49222,0.997784,5.27975,1.25478,0.810026,1.77,15,1,2.5,5.02771,15.8042,19.8177,55.9418,0.253698
1.47363,4.99222,1.02722,5.46829,1.31416,0.824444,1.77,15,1,2.5,6.84869,15.8042,21.19,55.9418,0.323204
1.79019,5.49222,1.05724,5.64718,1.37187,0.838968,1.77,15,1,2.5,8.64104,15.8042,22.532,55.9418,0.3835
2.07587,5.99222,1.08294,5.83128,1.41755,0.853365,1.77,15,1,2.5,10.3946,15.8042,23.8313,55.9418,0.436176
2.35839,6.49222,1.11158,5.99825,1.45873,0.868991,1.77,15,1,2.5,12.1512,15.8042,25.1026,55.9418,0.484061
2.6207,6.99222,1.13873,6.16549,1.49381,0.884193,1.77,15,1,2.5,13.8319,15.8042,26.3438,55.9418,0.525055
2.86871,7.49222,1.16281,6.32423,1.53067,0.897939,1.77,15,1,2.5,15.484,15.8042,27.5474,55.9418,0.562088
