p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.205055,3.49222,0.990467,4.95131,1.03272,0.986342,1.77,0.01,1,2.5,0.876739,15.8042,16.9336,12.9659,0.0517749
0.455303,3.99222,1.05493,5.02801,1.05783,1.05266,1.77,0.01,1,2.5,1.99361,15.8042,18.2213,12.9659,0.109411
0.687106,4.49222,1.11093,5.13111,1.11379,1.1089,1.77,0.01,1,2.5,3.10127,15.8042,19.4785,12.9659,0.159216
0.899918,4.99222,1.16117,5.24424,1.16491,1.15951,1.77,0.01,1,2.5,4.18934,15.8042,20.714,12.9659,0.202247
1.09565,5.49222,1.20707,5.36029,1.21142,1.20546,1.77,0.01,1,2.5,5.25363,15.8042,21.9252,12.9659,0.239616
1.27654,5.99222,1.2495,5.47584,1.25438,1.24795,1.77,0.01,1,2.5,6.29373,15.8042,23.1203,12.9659,0.272216
1.44461,6.49222,1.28903,5.5895,1.2944,1.28754,1.77,0.01,1,2.5,7.31009,15.8042,24.2917,12.9659,0.300929
1.60155,6.99222,1.32631,5.70025,1.33206,1.32496,1.77,0.01,1,2.5,8.30395,15.8042,25.4425,12.9659,0.326381
1.74883,7.49222,1.36153,5.808,1.36768,1.36033,1.77,0.01,1,2.5,9.27671,15.8042,26.5731,12.9659,0.349101
