p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.351284,3.49222,0.909424,4.95662,1.10423,0.780874,1.77,46.4,1,2.5,1.45174,15.8042,17.0183,145.965,0.0853048
0.799098,3.99222,0.967896,5.05679,1.20861,0.786511,1.77,46.4,1,2.5,3.32873,15.8042,18.4538,145.965,0.180382
1.21404,4.49222,0.999051,5.23805,1.27669,0.789916,1.77,46.4,1,2.5,5.34254,15.8042,19.8779,145.965,0.268767
1.59079,4.99222,1.02359,5.45657,1.33548,0.796025,1.77,46.4,1,2.5,7.33413,15.8042,21.2783,145.965,0.344676
1.93582,5.49222,1.05258,5.65191,1.38263,0.80317,1.77,46.4,1,2.5,9.36026,15.8042,22.6487,145.965,0.41328
2.26516,5.99222,1.07436,5.83337,1.43176,0.80973,1.77,46.4,1,2.5,11.3904,15.8042,23.9724,145.965,0.475147
2.5672,6.49222,1.09587,6.02294,1.47449,0.817079,1.77,46.4,1,2.5,13.3824,15.8042,25.2798,145.965,0.529373
2.87156,6.99222,1.11971,6.18138,1.51726,0.824761,1.77,46.4,1,2.5,15.39,15.8042,26.5512,145.965,0.579637
3.17826,7.49222,1.14038,6.34643,1.55673,0.832286,1.77,46.4,1,2.5,17.3791,15.8042,27.7959,145.965,0.625239
