p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.351807,3.49222,0.90663,4.96166,1.11371,0.779689,1.77,100,1,2.5,1.46833,15.8042,17.0231,299.634,0.0862554
0.829695,3.99222,0.979785,5.01965,1.19529,0.783736,1.77,100,1,2.5,3.43486,15.8042,18.4478,299.634,0.186193
1.27868,4.49222,1.01437,5.16863,1.29757,0.785323,1.77,100,1,2.5,5.43704,15.8042,19.8891,299.634,0.273368
1.67842,4.99222,1.04032,5.35777,1.36914,0.788247,1.77,100,1,2.5,7.56152,15.8042,21.3201,299.634,0.354667
2.03082,5.49222,1.05847,5.5767,1.4122,0.791218,1.77,100,1,2.5,9.72985,15.8042,22.7016,299.634,0.428597
2.37792,5.99222,1.07338,5.80485,1.45168,0.795081,1.77,100,1,2.5,11.8792,15.8042,24.0506,299.634,0.493926
2.6642,6.49222,1.09367,6.02201,1.491,0.799291,1.77,100,1,2.5,14.0167,15.8042,25.3923,299.634,0.552006
3.0009,6.99222,1.11282,6.18044,1.53748,0.802929,1.77,100,1,2.5,16.1308,15.8042,26.6683,299.634,0.604868
3.29832,7.49222,1.13381,6.34166,1.57453,0.807337,1.77,100,1,2.5,18.309,15.8042,27.9198,299.634,0.655772
