p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.33451,3.49222,0.91354,4.98102,1.09036,0.793897,1.77,8,1,2.5,1.40353,15.8042,17.0242,35.873,0.0824431
0.717039,3.99222,0.962,5.10368,1.17534,0.811535,1.77,8,1,2.5,3.08621,15.8042,18.4018,35.873,0.167712
1.06534,4.49222,0.997648,5.28722,1.24855,0.831116,1.77,8,1,2.5,4.7817,15.8042,19.7869,35.873,0.241659
1.38647,4.99222,1.03729,5.46055,1.30044,0.853451,1.77,8,1,2.5,6.46864,15.8042,21.1327,35.873,0.306096
1.67235,5.49222,1.06863,5.6513,1.34688,0.873796,1.77,8,1,2.5,8.10957,15.8042,22.4509,35.873,0.361214
1.94971,5.99222,1.09989,5.82501,1.38928,0.893731,1.77,8,1,2.5,9.7144,15.8042,23.7267,35.873,0.409428
2.21982,6.49222,1.13155,5.9712,1.43489,0.913558,1.77,8,1,2.5,11.2745,15.8042,24.9562,35.873,0.451773
2.46192,6.99222,1.15916,6.12556,1.47391,0.932525,1.77,8,1,2.5,12.8067,15.8042,26.1647,35.873,0.489464
2.6873,7.49222,1.18545,6.27489,1.51206,0.950445,1.77,8,1,2.5,14.3041,15.8042,27.3476,35.873,0.523048
