p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.33467,3.49222,0.912087,4.98202,1.09355,0.791918,1.77,9,1,2.5,1.41315,15.8042,17.0256,38.74,0.0830018
0.721436,3.99222,0.961563,5.10492,1.17659,0.807968,1.77,9,1,2.5,3.10977,15.8042,18.4043,38.74,0.16897
1.06722,4.49222,0.995636,5.29044,1.25088,0.825048,1.77,9,1,2.5,4.83313,15.8042,19.7944,38.74,0.244167
1.40062,4.99222,1.03234,5.46365,1.30692,0.846057,1.77,9,1,2.5,6.5371,15.8042,21.1439,38.74,0.309172
1.70092,5.49222,1.06777,5.64712,1.35128,0.867336,1.77,9,1,2.5,8.21588,15.8042,22.4671,38.74,0.365685
1.98225,5.99222,1.09851,5.81979,1.39491,0.886739,1.77,9,1,2.5,9.84816,15.8042,23.7445,38.74,0.414756
2.24813,6.49222,1.12752,5.97972,1.43745,0.904526,1.77,9,1,2.5,11.4442,15.8042,24.9873,38.74,0.458001
2.4963,6.99222,1.15568,6.13223,1.47801,0.922616,1.77,9,1,2.5,13.0054,15.8042,26.2001,38.74,0.496386
2.72816,7.49222,1.18175,6.28221,1.5162,0.940332,1.77,9,1,2.5,14.5274,15.8042,27.3854,38.74,0.530481
