p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
1.02944,4.44045,0,0,0,0,1.77,8,1,2.5,0,0,0,0,0
1.21881,4.7301,1.01711,5.37572,1.27091,0.842615,1.77,8,1,2.5,5.59229,15.8042,20.4364,35.873,0.273644
1.38943,5.01975,1.03706,5.49583,1.30008,0.854198,1.77,8,1,2.5,6.56884,15.8042,21.2235,35.873,0.309508
1.55958,5.30939,1.0549,5.60674,1.32761,0.865851,1.77,8,1,2.5,7.52089,15.8042,21.9889,35.873,0.34203
1.72994,5.59904,1.075,5.70392,1.3541,0.878179,1.77,8,1,2.5,8.46181,15.8042,22.7366,35.873,0.372166
1.89427,5.88868,1.09403,5.79523,1.37966,0.889893,1.77,8,1,2.5,9.39406,15.8042,23.4719,35.873,0.400225
2.04511,6.17833,1.11124,5.88898,1.4051,0.901033,1.77,8,1,2.5,10.3053,15.8042,24.1955,35.873,0.425918
2.19397,6.46798,1.12792,5.98167,1.42927,0.912084,1.77,8,1,2.5,11.2059,15.8042,24.9108,35.873,0.449843
2.3395,6.75762,1.14455,6.06904,1.45326,0.923308,1.77,8,1,2.5,12.0992,15.8042,25.6134,35.873,0.472376
2.47973,7.04727,1.16119,6.15144,1.47647,0.934099,1.77,8,1,2.5,12.9753,15.8042,26.3038,35.873,0.493285
