p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.82572,4.22787,0,0,0,0,1.77,4,1,2.5,0,0,0,0,0
0.977275,4.475,1.00992,5.28542,1.21984,0.864328,1.77,4,1,2.5,4.42086,15.8042,19.6929,24.4051,0.22449
1.12356,4.72213,1.02886,5.3764,1.2462,0.877955,1.77,4,1,2.5,5.17931,15.8042,20.3534,24.4051,0.254469
1.26834,4.96926,1.04881,5.45658,1.27224,0.892259,1.77,4,1,2.5,5.92654,15.8042,20.9986,24.4051,0.282236
1.40606,5.21639,1.06698,5.53747,1.29667,0.905591,1.77,4,1,2.5,6.66265,15.8042,21.6355,24.4051,0.30795
1.5381,5.46351,1.08496,5.61685,1.32059,0.918853,1.77,4,1,2.5,7.38616,15.8042,22.2614,24.4051,0.331792
1.66506,5.71064,1.10199,5.69443,1.34321,0.931839,1.77,4,1,2.5,8.10354,15.8042,22.8807,24.4051,0.354165
1.78922,5.95777,1.11932,5.76734,1.36562,0.944561,1.77,4,1,2.5,8.80917,15.8042,23.4887,24.4051,0.375038
1.90601,6.2049,1.13494,5.84559,1.38592,0.956834,1.77,4,1,2.5,9.50831,15.8042,24.0932,24.4051,0.394647
2.02502,6.45203,1.15145,5.91273,1.40749,0.969074,1.77,4,1,2.5,10.1945,15.8042,24.683,24.4051,0.41302
