p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
1.13558,4.53671,0,0,0,0,1.77,10,1,2.5,0,0,0,0,0
1.32349,4.84561,1.0225,5.41076,1.29245,0.836683,1.77,10,1,2.5,6.09984,15.8042,20.7652,41.607,0.293753
1.50753,5.15451,1.0409,5.54174,1.32047,0.848072,1.77,10,1,2.5,7.16782,15.8042,21.602,41.607,0.331812
1.69679,5.46341,1.0627,5.64721,1.35407,0.860164,1.77,10,1,2.5,8.21492,15.8042,22.4116,41.607,0.366547
1.87403,5.7723,1.08253,5.75507,1.38181,0.87177,1.77,10,1,2.5,9.24618,15.8042,23.2102,41.607,0.398368
2.04705,6.0812,1.1004,5.86536,1.4075,0.882804,1.77,10,1,2.5,10.2656,15.8042,24.0007,41.607,0.427723
2.21061,6.3901,1.1173,5.96438,1.43448,0.89316,1.77,10,1,2.5,11.2623,15.8042,24.769,41.607,0.454695
2.36645,6.699,1.13473,6.06359,1.45707,0.904039,1.77,10,1,2.5,12.2606,15.8042,25.5307,41.607,0.480229
2.52229,7.00789,1.1521,6.15709,1.48115,0.914809,1.77,10,1,2.5,13.2345,15.8042,26.2787,41.607,0.503619
2.66741,7.31679,1.1675,6.2522,1.5036,0.924826,1.77,10,1,2.5,14.1915,15.8042,27.016,41.607,0.5253
