p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.945198,4.34419,0,0,0,0,1.77,6,1,2.5,0,0,0,0,0
1.10802,4.61459,1.01249,5.34468,1.24824,0.850582,1.77,6,1,2.5,5.06278,15.8042,20.1051,30.1391,0.251816
1.26886,4.88498,1.03161,5.44649,1.2762,0.862932,1.77,6,1,2.5,5.93845,15.8042,20.8337,30.1391,0.28504
1.43189,5.15538,1.05254,5.53584,1.30326,0.876597,1.77,6,1,2.5,6.79835,15.8042,21.5406,30.1391,0.315606
1.5882,5.42577,1.07155,5.62658,1.32917,0.889206,1.77,6,1,2.5,7.64633,15.8042,22.2393,30.1391,0.34382
1.73229,5.69617,1.08925,5.71814,1.35352,0.901428,1.77,6,1,2.5,8.48196,15.8042,22.9278,30.1391,0.369943
1.87753,5.96656,1.10688,5.8033,1.37799,0.9135,1.77,6,1,2.5,9.30502,15.8042,23.6039,30.1391,0.394215
2.01673,6.23696,1.12409,5.88352,1.40255,0.925361,1.77,6,1,2.5,10.118,15.8042,24.269,30.1391,0.41691
2.14963,6.50735,1.14066,5.96592,1.4249,0.936988,1.77,6,1,2.5,10.9206,15.8042,24.9271,30.1391,0.438103
2.27794,6.77774,1.15645,6.04441,1.4468,0.948305,1.77,6,1,2.5,11.7127,15.8042,25.5753,30.1391,0.457972
