p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.454628,3.99611,0,0,0,0,1.77,0,1,2.5,0,0,0,0,0
0.549744,4.19689,1.08118,5.06589,1.0783,1.08118,1.77,0,1,2.5,2.44031,15.8042,19.5004,12.9373,0.125141
0.641722,4.39767,1.10342,5.10793,1.10062,1.10342,1.77,0,1,2.5,2.88355,15.8042,20.1642,12.9373,0.143003
0.73059,4.59844,1.12468,5.15184,1.12193,1.12468,1.77,0,1,2.5,3.32375,15.8042,20.8302,12.9373,0.159564
0.816443,4.79922,1.14505,5.19698,1.14235,1.14505,1.77,0,1,2.5,3.76051,15.8042,21.4969,12.9373,0.174932
0.899409,5,1.16464,5.24288,1.16198,1.16464,1.77,0,1,2.5,4.19358,15.8042,22.1631,12.9373,0.189215
0.979631,5.20078,1.18353,5.28921,1.1809,1.18353,1.77,0,1,2.5,4.62281,15.8042,22.8277,12.9373,0.202509
1.05726,5.40156,1.20177,5.33571,1.19918,1.20177,1.77,0,1,2.5,5.04812,15.8042,23.49,12.9373,0.214905
1.13243,5.60233,1.21944,5.38219,1.21688,1.21944,1.77,0,1,2.5,5.4695,15.8042,24.1496,12.9373,0.226484
1.2053,5.80311,1.23657,5.42853,1.23405,1.23657,1.77,0,1,2.5,5.88696,15.8042,24.806,12.9373,0.23732
