p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.659519,4.05568,0,0,0,0,1.77,2,1,2.5,0,0,0,0,0
0.785664,4.26837,1.00486,5.20353,1.17702,0.888017,1.77,2,1,2.5,3.49984,15.8042,19.0853,18.6712,0.183379
0.907788,4.48106,1.02496,5.27001,1.20136,0.904253,1.77,2,1,2.5,4.09581,15.8042,19.6423,18.6712,0.20852
1.02646,4.69375,1.0442,5.33309,1.22441,0.919948,1.77,2,1,2.5,4.6831,15.8042,20.1909,18.6712,0.231941
1.13982,4.90645,1.06243,5.39869,1.24661,0.935028,1.77,2,1,2.5,5.26581,15.8042,20.7355,18.6712,0.253952
1.24921,5.11914,1.07991,5.46311,1.26761,0.949663,1.77,2,1,2.5,5.84045,15.8042,21.2727,18.6712,0.274551
1.35565,5.33183,1.09692,5.52582,1.28781,0.96387,1.77,2,1,2.5,6.40815,15.8042,21.8032,18.6712,0.293909
1.45724,5.54452,1.11307,5.58999,1.30685,0.977579,1.77,2,1,2.5,6.97169,15.8042,22.3299,18.6712,0.312213
1.55517,5.75721,1.1286,5.65347,1.32571,0.990755,1.77,2,1,2.5,7.52738,15.8042,22.8499,18.6712,0.329428
1.65195,5.9699,1.1442,5.71389,1.34369,1.00398,1.77,2,1,2.5,8.07746,15.8042,23.3636,18.6712,0.345729
