p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.227262,3.50684,0,0,0,0,1.77,0.1,1,2.5,0,0,0,0,0
0.280946,3.60977,0.987167,4.97834,1.04574,0.962055,1.77,0.1,1,2.5,1.19724,15.8042,17.2384,13.224,0.069452
0.334144,3.71269,1.00186,4.99477,1.05005,0.977744,1.77,0.1,1,2.5,1.4313,15.8042,17.5037,13.224,0.0817712
0.386677,3.81562,1.01579,5.01281,1.05574,0.992448,1.77,0.1,1,2.5,1.66566,15.8042,17.7687,13.224,0.093741
0.438463,3.91854,1.02909,5.03219,1.06615,1.00636,1.77,0.1,1,2.5,1.9,15.8042,18.0333,13.224,0.10536
0.489447,4.02147,1.04188,5.05266,1.07773,1.01964,1.77,0.1,1,2.5,2.13409,15.8042,18.2973,13.224,0.116634
0.5396,4.12439,1.05422,5.07402,1.08921,1.03239,1.77,0.1,1,2.5,2.36773,15.8042,18.5604,13.224,0.127569
0.588902,4.22732,1.06618,5.09611,1.10054,1.04468,1.77,0.1,1,2.5,2.60077,15.8042,18.8227,13.224,0.138172
0.637354,4.33024,1.07777,5.11878,1.11168,1.05657,1.77,0.1,1,2.5,2.8331,15.8042,19.084,13.224,0.148454
0.684955,4.43316,1.08906,5.14193,1.1226,1.0681,1.77,0.1,1,2.5,3.06462,15.8042,19.3442,13.224,0.158426
