p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.989698,4.39232,0,0,0,0,1.77,7,1,2.5,0,0,0,0,0
1.15683,4.67234,1.0129,5.36959,1.25987,0.845201,1.77,7,1,2.5,5.33557,15.8042,20.2777,33.006,0.263125
1.33805,4.95236,1.03559,5.46289,1.28917,0.858838,1.77,7,1,2.5,6.253,15.8042,21.0242,33.006,0.297419
1.49702,5.23238,1.054,5.57291,1.31621,0.871079,1.77,7,1,2.5,7.16519,15.8042,21.7676,33.006,0.329168
1.6587,5.51241,1.07206,5.66808,1.34228,0.882486,1.77,7,1,2.5,8.05959,15.8042,22.4913,33.006,0.358343
1.81682,5.79243,1.09196,5.75451,1.36768,0.895201,1.77,7,1,2.5,8.94352,15.8042,23.2008,33.006,0.385484
1.9634,6.07245,1.10894,5.84789,1.39157,0.906519,1.77,7,1,2.5,9.80936,15.8042,23.9024,33.006,0.410393
2.10924,6.35247,1.12575,5.93168,1.41677,0.918038,1.77,7,1,2.5,10.6683,15.8042,24.5903,33.006,0.433842
2.24503,6.63249,1.14175,6.01979,1.43962,0.92905,1.77,7,1,2.5,11.5183,15.8042,25.274,33.006,0.455736
2.37814,6.91251,1.15799,6.10198,1.4618,0.940174,1.77,7,1,2.5,12.3528,15.8042,25.9443,33.006,0.476128
