p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.513987,3.88807,0,0,0,0,1.77,1,1,2.5,0,0,0,0,0
0.616319,4.06724,1.0001,5.12206,1.13603,0.910062,1.77,1,1,2.5,2.69605,15.8042,18.5003,15.8042,0.14573
0.714936,4.24641,1.01929,5.1717,1.15599,0.92735,1.77,1,1,2.5,3.16209,15.8042,18.9663,15.8042,0.166721
0.810851,4.42558,1.03754,5.22145,1.17573,0.943881,1.77,1,1,2.5,3.62344,15.8042,19.4277,15.8042,0.186509
0.903723,4.60474,1.0549,5.27219,1.19463,0.959688,1.77,1,1,2.5,4.08085,15.8042,19.8851,15.8042,0.205222
0.993733,4.78391,1.07164,5.32293,1.21284,0.974963,1.77,1,1,2.5,4.53438,15.8042,20.3386,15.8042,0.222944
1.08081,4.96308,1.08773,5.37361,1.23042,0.989847,1.77,1,1,2.5,4.98348,15.8042,20.7877,15.8042,0.239732
1.1654,5.14225,1.10341,5.42363,1.24752,1.00427,1.77,1,1,2.5,5.42797,15.8042,21.2322,15.8042,0.255648
1.24744,5.32142,1.11848,5.47371,1.26406,1.01832,1.77,1,1,2.5,5.8687,15.8042,21.6729,15.8042,0.270785
1.32716,5.50059,1.13309,5.5235,1.2801,1.0319,1.77,1,1,2.5,6.30543,15.8042,22.1097,15.8042,0.285189
