p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.894935,4.29607,0,0,0,0,1.77,5,1,2.5,0,0,0,0,0
1.0524,4.55683,1.01257,5.31662,1.23683,0.857289,1.77,5,1,2.5,4.78304,15.8042,19.9315,27.2721,0.239974
1.20928,4.8176,1.03202,5.41246,1.26356,0.870609,1.77,5,1,2.5,5.60783,15.8042,20.6293,27.2721,0.271838
1.36166,5.07837,1.05118,5.50301,1.28995,0.883807,1.77,5,1,2.5,6.41898,15.8042,21.3134,27.2721,0.301172
1.50649,5.33914,1.07009,5.59177,1.31497,0.897102,1.77,5,1,2.5,7.21585,15.8042,21.9864,27.2721,0.328196
1.65076,5.59991,1.08821,5.67238,1.34043,0.909715,1.77,5,1,2.5,8.00357,15.8042,22.6465,27.2721,0.353413
1.78743,5.86068,1.10573,5.75482,1.36364,0.92239,1.77,5,1,2.5,8.78238,15.8042,23.3003,27.2721,0.376921
1.9188,6.12145,1.12247,5.83555,1.3864,0.9346,1.77,5,1,2.5,9.54756,15.8042,23.9432,27.2721,0.398759
2.04454,6.38221,1.1386,5.91623,1.40825,0.946436,1.77,5,1,2.5,10.3037,15.8042,24.5786,27.2721,0.419215
2.165,6.64298,1.1544,5.9946,1.42913,0.958091,1.77,5,1,2.5,11.0503,15.8042,25.2053,27.2721,0.438412
