p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.749827,4.14838,0,0,0,0,1.77,3,1,2.5,0,0,0,0,0
0.889928,4.37962,1.00702,5.24926,1.20112,0.873567,1.77,3,1,2.5,3.99815,15.8042,19.4147,21.5382,0.205933
1.02581,4.61085,1.02668,5.32778,1.22637,0.888376,1.77,3,1,2.5,4.68207,15.8042,20.0274,21.5382,0.233783
1.15862,4.84208,1.04569,5.40119,1.25089,0.903088,1.77,3,1,2.5,5.3553,15.8042,20.629,21.5382,0.2596
1.28436,5.07331,1.0642,5.47403,1.27459,0.917333,1.77,3,1,2.5,6.01824,15.8042,21.2216,21.5382,0.28359
1.4071,5.30455,1.08206,5.54724,1.29738,0.931191,1.77,3,1,2.5,6.67426,15.8042,21.8081,21.5382,0.306046
1.52413,5.53578,1.09908,5.61884,1.31897,0.944607,1.77,3,1,2.5,7.32164,15.8042,22.3864,21.5382,0.327057
1.63691,5.76701,1.11547,5.69005,1.33948,0.957621,1.77,3,1,2.5,7.96173,15.8042,22.9584,21.5382,0.346789
1.74743,5.99824,1.13165,5.75834,1.35949,0.970559,1.77,3,1,2.5,8.59342,15.8042,23.5222,21.5382,0.365332
1.85391,6.22947,1.14723,5.82587,1.37899,0.982976,1.77,3,1,2.5,9.21709,15.8042,24.0793,21.5382,0.382781
