d,expansion_ratio,modulus
0.3277777777777778,1.3133191152097772,10.0
0.3277777777777778,1.3165478276252967,12.0
0.3277777777777778,1.327193347908715,15.0
0.3277777777777778,1.3281740504797106,18.0
0.3277777777777778,1.331259186608892,21.5
0.3277777777777778,1.3258615565192415,25.0
0.3277777777777778,1.330494031334664,30.0
0.3277777777777778,1.3280294724686326,35.0
0.3277777777777778,1.3282722539974898,40.0
0.3277777777777778,1.3274813538966557,46.4
0.26319444444444445,1.2142426972288591,4.64
0.26319444444444445,1.2214999965296829,6.0
0.26319444444444445,1.2263002545794082,7.0
0.26319444444444445,1.2300963985478182,8.0
0.26319444444444445,1.2336956260653864,9.0
0.26319444444444445,1.237515884837215,10.0
0.26319444444444445,1.2330333343584994,12.5
0.26319444444444445,1.2308469368181068,15.0
0.26319444444444445,1.2319359945057635,18.0
0.26319444444444445,1.2277132827734731,21.5
0.1986111111111111,1.1396029410287019,4.64
0.1986111111111111,1.1420941160861269,6.0
0.1986111111111111,1.1436376010207154,7.0
0.1986111111111111,1.1453759574003108,8.0
0.1986111111111111,1.1474747379264936,9.0
0.1986111111111111,1.1483677858646164,10.0
0.1986111111111111,1.1491540499755462,12.5
0.1986111111111111,1.146379645199064,15.0
0.1986111111111111,1.1374626907120455,18.0
0.1986111111111111,1.134417791380786,21.5
0.13402777777777777,1.0728630980636353,4.64
0.13402777777777777,1.0732926989840614,6.0
0.13402777777777777,1.074095878082254,7.0
0.13402777777777777,1.0735758945451865,8.0
0.13402777777777777,1.0712135524585498,9.0
0.13402777777777777,1.0744300252043604,10.0
0.13402777777777777,1.0664492605006515,12.5
0.13402777777777777,1.0571838481930091,15.0
0.13402777777777777,1.0550046763550098,18.0
0.13402777777777777,1.0466628342736763,21.5
0.06944444444444445,1.0170231631371955,4.64
0.06944444444444445,1.0173811883092876,6.0
0.06944444444444445,1.016615630792919,7.0
0.06944444444444445,1.0163519469219264,8.0
0.06944444444444445,1.0160070855169814,9.0
0.06944444444444445,1.0171919001682825,10.0
0.06944444444444445,1.0166636935847233,12.5
0.06944444444444445,1.0162579094649837,15.0
0.06944444444444445,1.0168429493156712,18.0
0.06944444444444445,1.0141686662029277,21.5
