p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.302337,3.49222,0.919836,4.98116,1.08287,0.822326,1.77,2.15,1,2.5,1.28086,15.8042,17.0037,19.1013,0.0753286
0.627563,3.99222,0.976597,5.10956,1.15091,0.862388,1.77,2.15,1,2.5,2.72674,15.8042,18.3451,19.1013,0.148636
0.926917,4.49222,1.02616,5.26579,1.20691,0.901455,1.77,2.15,1,2.5,4.15415,15.8042,19.6693,19.1013,0.2112
1.19876,4.99222,1.06874,5.42067,1.25922,0.936349,1.77,2.15,1,2.5,5.54256,15.8042,20.9564,19.1013,0.26448
1.45074,5.49222,1.10861,5.56721,1.30721,0.969279,1.77,2.15,1,2.5,6.88778,15.8042,22.2026,19.1013,0.310225
1.6793,5.99222,1.14372,5.72283,1.34861,0.999484,1.77,2.15,1,2.5,8.20934,15.8042,23.4298,19.1013,0.350381
1.89491,6.49222,1.17784,5.86307,1.38962,1.02849,1.77,2.15,1,2.5,9.48871,15.8042,24.6161,19.1013,0.385468
2.09619,6.99222,1.20998,5.99844,1.42798,1.05588,1.77,2.15,1,2.5,10.7393,15.8042,25.775,19.1013,0.416655
2.28562,7.49222,1.24032,6.12771,1.46488,1.08181,1.77,2.15,1,2.5,11.9595,15.8042,26.9059,19.1013,0.444494
