p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.351807,3.49222,0.90663,4.96166,1.11371,0.779689,1.77,100,1,2.5,1.46833,15.8042,17.0231,299.634,0.0862554
0.828439,3.99222,0.976121,5.02546,1.20021,0.783704,1.77,100,1,2.5,3.41364,15.8042,18.4463,299.634,0.185058
1.25889,4.49222,1.01301,5.1776,1.29772,0.785133,1.77,100,1,2.5,5.43477,15.8042,19.8889,299.634,0.273257
1.65482,4.99222,1.03033,5.40315,1.35384,0.787979,1.77,100,1,2.5,7.56871,15.8042,21.3192,299.634,0.355018
2.00939,5.49222,1.05102,5.62709,1.403,0.791465,1.77,100,1,2.5,9.68451,15.8042,22.715,299.634,0.426349
2.34696,5.99222,1.0749,5.80658,1.45271,0.795052,1.77,100,1,2.5,11.8885,15.8042,24.0578,299.634,0.494163
2.68194,6.49222,1.09454,5.99984,1.49524,0.799286,1.77,100,1,2.5,14.0213,15.8042,25.3763,299.634,0.552535
2.99817,6.99222,1.11468,6.18339,1.53401,0.803558,1.77,100,1,2.5,16.1671,15.8042,26.6713,299.634,0.606162
3.29049,7.49222,1.13213,6.35199,1.57606,0.807201,1.77,100,1,2.5,18.2915,15.8042,27.9298,299.634,0.65491
