p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.205055,3.49222,0.990467,4.95131,1.03272,0.986342,1.77,0.01,1,2.5,0.876739,15.8042,16.9336,12.9659,0.0517749
0.455297,3.99222,1.05494,5.02801,1.0579,1.05265,1.77,0.01,1,2.5,1.99363,15.8042,18.2211,12.9659,0.109413
0.687106,4.49222,1.11094,5.13123,1.11379,1.10895,1.77,0.01,1,2.5,3.10124,15.8042,19.4773,12.9659,0.159224
0.899907,4.99222,1.16116,5.24423,1.16488,1.15951,1.77,0.01,1,2.5,4.18935,15.8042,20.7143,12.9659,0.202244
1.09565,5.49222,1.20707,5.36029,1.21141,1.20546,1.77,0.01,1,2.5,5.25363,15.8042,21.9254,12.9659,0.239614
1.27654,5.99222,1.24951,5.47584,1.25436,1.24795,1.77,0.01,1,2.5,6.29373,15.8042,23.1207,12.9659,0.272212
1.44461,6.49222,1.28902,5.5895,1.2944,1.28755,1.77,0.01,1,2.5,7.31009,15.8042,24.2919,12.9659,0.300927
1.60155,6.99222,1.32631,5.70025,1.33206,1.32496,1.77,0.01,1,2.5,8.30395,15.8042,25.4427,12.9659,0.326378
1.74883,7.49222,1.36153,5.808,1.36768,1.36033,1.77,0.01,1,2.5,9.27671,15.8042,26.5734,12.9659,0.349098
