id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.245686,3.42408,0.639402,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
59,-0.26362,3.4241,0.499756,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
187,-0.206992,3.42399,0.770656,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
1045,-0.245686,3.42408,0.639402,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
616,-0.145226,3.42379,0.882191,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
187,-0.206992,3.42399,0.770656,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
16,-0.0672333,3.42363,0.970908,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
616,-0.145226,3.42379,0.882191,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
16,-0.0672333,3.42363,0.970908,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
615,0.0258804,3.4234,1.02207,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
615,0.0258804,3.4234,1.02207,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
186,0.125003,3.42338,1.03862,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
186,0.125003,3.42338,1.03862,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
1044,0.224137,3.42342,1.02206,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
1044,0.224137,3.42342,1.02206,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
38,0.317248,3.42352,0.97092,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
38,0.317248,3.42352,0.97092,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
664,0.395229,3.42374,0.882201,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
664,0.395229,3.42374,0.882201,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
235,0.456986,3.42392,0.770676,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
235,0.456986,3.42392,0.770676,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
1093,0.495694,3.42401,0.639423,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
1093,0.495694,3.42401,0.639423,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
60,0.513614,3.42399,0.499771,0,3.49222,100,0.992656,0.327778,0.124845,0.500989
1045,-0.289163,3.42902,0.658854,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
59,-0.321489,3.42953,0.520766,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
187,-0.235086,3.42833,0.78539,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
1045,-0.289163,3.42902,0.658854,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
616,-0.159837,3.42803,0.88901,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
187,-0.235086,3.42833,0.78539,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
16,-0.0707917,3.42694,0.967332,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
616,-0.159837,3.42803,0.88901,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
16,-0.0707917,3.42694,0.967332,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
615,0.0280398,3.42872,1.00356,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
615,0.0280398,3.42872,1.00356,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
186,0.124986,3.42638,1.01186,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
186,0.124986,3.42638,1.01186,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
1044,0.221932,3.42867,1.00361,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
1044,0.221932,3.42867,1.00361,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
38,0.320747,3.42685,0.967297,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
38,0.320747,3.42685,0.967297,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
664,0.409786,3.42789,0.88898,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
664,0.409786,3.42789,0.88898,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
235,0.484938,3.42839,0.785332,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
235,0.484938,3.42839,0.785332,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
1093,0.539016,3.42896,0.658806,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
1093,0.539016,3.42896,0.658806,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
60,0.571178,3.42947,0.520681,1,3.49222,100,0.992656,0.327778,0.124845,0.500989
1045,-0.246794,3.42776,0.640857,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
59,-0.266054,3.42775,0.500634,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
187,-0.20746,3.42768,0.771746,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
1045,-0.246794,3.42776,0.640857,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
616,-0.145302,3.42743,0.883157,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
187,-0.20746,3.42768,0.771746,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
16,-0.0669813,3.42722,0.971605,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
616,-0.145302,3.42743,0.883157,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
16,-0.0669813,3.42722,0.971605,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
615,0.0261481,3.42741,1.0224,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
615,0.0261481,3.42741,1.0224,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
186,0.124973,3.42765,1.03879,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
186,0.124973,3.42765,1.03879,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
1044,0.223903,3.42735,1.02247,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
1044,0.223903,3.42735,1.02247,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
38,0.316975,3.42738,0.971575,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
38,0.316975,3.42738,0.971575,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
664,0.395324,3.42748,0.883155,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
664,0.395324,3.42748,0.883155,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
235,0.457461,3.4276,0.771862,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
235,0.457461,3.4276,0.771862,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
1093,0.496807,3.42781,0.640985,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
1093,0.496807,3.42781,0.640985,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
60,0.516139,3.42789,0.500887,0,3.99222,100,0.993299,0.327778,0.124852,0.501632
1045,-0.313671,3.44565,0.677578,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
59,-0.345569,3.44626,0.536858,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
187,-0.253202,3.44496,0.803957,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
1045,-0.313671,3.44565,0.677578,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
616,-0.169627,3.44447,0.903063,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
187,-0.253202,3.44496,0.803957,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
16,-0.0726631,3.44445,0.97278,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
616,-0.169627,3.44447,0.903063,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
16,-0.0726631,3.44445,0.97278,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
615,0.0294242,3.44664,0.999183,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
615,0.0294242,3.44664,0.999183,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
186,0.125095,3.44119,1.0022,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
186,0.125095,3.44119,1.0022,1,3.99222,100,0.993299,0.327778,0.124852,0.501632
