p,v,maxx,maxy,maxz,maxb,v_add,bulkheadyoungs,cortexyoungs,junctionyoungs,ftot,ratot,datot,actot,tavg
0.32192,3.49222,0.912925,4.98522,1.08999,0.803647,1.77,4.64,1,2.5,1.3676,15.8042,17.0244,26.24,0.0803318
0.675304,3.99222,0.961046,5.11246,1.17467,0.827303,1.77,4.64,1,2.5,2.94696,15.8042,18.3854,26.24,0.160288
1.00732,4.49222,1.00908,5.28112,1.22993,0.857239,1.77,4.64,1,2.5,4.53456,15.8042,19.7406,26.24,0.229708
1.30226,4.99222,1.04659,5.46373,1.28166,0.883362,1.77,4.64,1,2.5,6.08671,15.8042,21.068,26.24,0.288907
1.59121,5.49222,1.08512,5.619,1.3305,0.910949,1.77,4.64,1,2.5,7.60697,15.8042,22.3513,26.24,0.340337
1.84808,5.99222,1.11846,5.77686,1.37562,0.935098,1.77,4.64,1,2.5,9.07913,15.8042,23.5989,26.24,0.384728
2.08737,6.49222,1.14973,5.92789,1.41726,0.958251,1.77,4.64,1,2.5,10.5112,15.8042,24.8134,26.24,0.42361
2.31149,6.99222,1.18003,6.06948,1.45779,0.980857,1.77,4.64,1,2.5,11.9097,15.8042,25.9954,26.24,0.458147
2.52098,7.49222,1.20715,6.21551,1.49449,1.00178,1.77,4.64,1,2.5,13.2797,15.8042,27.1577,26.24,0.488983
